Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
blade,0.6,43,50,1900,,bwu BWU 43-600,https://en.wind-turbine-models.com/turbines/355-bwu-bwu-43-600,,bwu,No,No
blade,1.05,57,55,3600,,bwu BWU 57-1000,https://en.wind-turbine-models.com/turbines/352-bwu-bwu-57-1000,,bwu,No,No
blade,1.5,70,85,5500,,bwu MD70,https://en.wind-turbine-models.com/turbines/2040-bwu-md70,,bwu,No,No
blade,0.25,35,35,800,,C&F CF 250,https://en.wind-turbine-models.com/turbines/1797-c-f-cf-250,,C&F,No,No
blade,0.225,20.6,48.8,300,,Carter CWT 225,https://en.wind-turbine-models.com/turbines/2714-carter-cwt-225,,Carter,No,No
blade,0.025,9.6,15.7,100,,CHAVA WIND Windleaf2500 VAWT,https://en.wind-turbine-models.com/turbines/2132-chava-wind-windleaf2500-vawt,,CHAVA WIND,No,No
blade,6.25,195,,26200,,CRRC CWT6250-D195,https://en.wind-turbine-models.com/turbines/2679-crrc-cwt6250-d195,,CRRC,No,No
blade,6.7,195,,26200,,CRRC CWT6700-D195,https://en.wind-turbine-models.com/turbines/2680-crrc-cwt6700-d195,,CRRC,No,No
blade,7.15,195,,26200,,CRRC CWT7150-D195,https://en.wind-turbine-models.com/turbines/2675-crrc-cwt7150-d195,,CRRC,No,No
blade,0.85,52,62,3200,,CSIC H52-850,https://en.wind-turbine-models.com/turbines/2069-csic-h52-850,,CSIC,No,No
blade,0.85,56,62,3200,,CSIC H56-850,https://en.wind-turbine-models.com/turbines/2070-csic-h56-850,,CSIC,No,No
blade,0.85,60,62,3200,,CSIC H60-850,https://en.wind-turbine-models.com/turbines/2071-csic-h60-850,,CSIC,No,No
blade,2,87,70,8700,,CSIC H87-2.0,https://en.wind-turbine-models.com/turbines/2072-csic-h87-2-0,,CSIC,No,No
blade,2,93,70,8800,,CSIC H93-2.0,https://en.wind-turbine-models.com/turbines/2073-csic-h93-2-0,,CSIC,No,Yes
blade,2,102,70,9500,,CSIC H102-2.0,https://en.wind-turbine-models.com/turbines/2074-csic-h102-2-0,,CSIC,No,No
blade,2,111,70,11600,,CSIC H111-2.0,https://en.wind-turbine-models.com/turbines/2075-csic-h111-2-0,,CSIC,No,Yes
blade,2,117,80,12000,,CSIC H117-2.0,https://en.wind-turbine-models.com/turbines/2076-csic-h117-2-0,,CSIC,No,No
blade,2,120,80,12000,,CSIC H120-2.0,https://en.wind-turbine-models.com/turbines/2077-csic-h120-2-0,,CSIC,No,No
blade,2.2,120,80,12000,,CSIC H120-2.2,https://en.wind-turbine-models.com/turbines/2079-csic-h120-2-2,,CSIC,No,No
blade,2,123,80,12800,,CSIC H123-2.0,https://en.wind-turbine-models.com/turbines/2078-csic-h123-2-0,,CSIC,No,No
blade,5,128,87,22200,,CSIC H128-5.0,https://en.wind-turbine-models.com/turbines/2054-csic-h128-5-0,,CSIC,No,No
blade,3,136,90,17500,,CSIC H136-3.0,https://en.wind-turbine-models.com/turbines/2065-csic-h136-3-0,,CSIC,No,No
blade,3,140,90,19000,,CSIC H140-3.0,https://en.wind-turbine-models.com/turbines/2066-csic-h140-3-0,,CSIC,No,No
blade,3,146,90,19500,,CSIC H146-3.0,https://en.wind-turbine-models.com/turbines/2067-csic-h146-3-0,,CSIC,No,No
blade,3.2,146,90,19500,,CSIC H146-3.2,https://en.wind-turbine-models.com/turbines/2068-csic-h146-3-2,,CSIC,No,No
blade,5,151,97,27300,,CSIC H151-5.0,https://en.wind-turbine-models.com/turbines/2055-csic-h151-5-0,,CSIC,No,No
blade,6.2,152,97,28000,,CSIC H152-6.2,https://en.wind-turbine-models.com/turbines/2057-csic-h152-6-2,,CSIC,No,No
blade,5,171,107,25200,,CSIC H171-5.0,https://en.wind-turbine-models.com/turbines/2056-csic-h171-5-0,,CSIC,No,No
blade,1.65,77.4,70,17400,,CSR WT1650-D77,https://en.wind-turbine-models.com/turbines/128-csr-wt1650-d77,,CSR,No,No
blade,0.265,29.3,29,1500,,DWT Danish Wind Tech Windane 29,https://en.wind-turbine-models.com/turbines/1389-dwt-danish-wind-tech-windane-29,,DWT Danish Wind Tech,No,No
blade,0.3,30.8,32,1500,,DWT Danish Wind Tech Windane 31,https://en.wind-turbine-models.com/turbines/1370-dwt-danish-wind-tech-windane-31,,DWT Danish Wind Tech,No,No
blade,0.4,34,32,2000,,DWT Danish Wind Tech Windane 34,https://en.wind-turbine-models.com/turbines/194-dwt-danish-wind-tech-windane-34,,DWT Danish Wind Tech,No,No
blade,0.4,34.8,32,1600,,DWT Danish Wind Tech Windane 34 US,https://en.wind-turbine-models.com/turbines/567-dwt-danish-wind-tech-windane-34-us,,DWT Danish Wind Tech,No,No
blade,0.75,40,45,2700,,DWT Danish Wind Tech Windane 40,https://en.wind-turbine-models.com/turbines/1367-dwt-danish-wind-tech-windane-40,,DWT Danish Wind Tech,No,No
blade,0.525,36,41,1600,,DANmark DK 36-500,https://en.wind-turbine-models.com/turbines/999-danmark-dk-36-500,,DANmark,No,No
blade,0.18,23.2,30,700,,Danwin Danwin 23,https://en.wind-turbine-models.com/turbines/221-danwin-danwin-23,,Danwin,No,No
blade,0.15,24,30,700,,Danwin Danwin 24/150,https://en.wind-turbine-models.com/turbines/222-danwin-danwin-24-150,,Danwin,No,No
blade,0.18,24,30,700,,Danwin Danwin 24/180,https://en.wind-turbine-models.com/turbines/1470-danwin-danwin-24-180,,Danwin,No,No
blade,0.225,27,30,800,,Danwin Danwin 27/225,https://en.wind-turbine-models.com/turbines/1642-danwin-danwin-27-225,,Danwin,No,No
blade,0.06,21.5,30,400,,DeimosWind DT 2160,https://en.wind-turbine-models.com/turbines/705-deimoswind-dt-2160,,DeimosWind,No,No
blade,0.06,21.5,30,400,,DeimosWind DT 2169,https://en.wind-turbine-models.com/turbines/702-deimoswind-dt-2169,,DeimosWind,No,No
blade,0.08,17,23,300,,Dencon 80/17,https://en.wind-turbine-models.com/turbines/2351-dencon-80-17,,Dencon,No,No
blade,0.095,17,23,300,,Dencon 95/17,https://en.wind-turbine-models.com/turbines/2350-dencon-95-17,,Dencon,No,No
blade,0.2,25.5,31.5,1400,,Dencon Tornado 200/26,https://en.wind-turbine-models.com/turbines/1876-dencon-tornado-200-26,,Dencon,No,No
blade,0.25,25.5,31.5,1400,,Dencon Tornado 250/26,https://en.wind-turbine-models.com/turbines/180-dencon-tornado-250-26,,Dencon,No,No
blade,0.1,25,22,300,,DFVLR DEBRA-25,https://en.wind-turbine-models.com/turbines/429-dfvlr-debra-25,,DFVLR,No,No
blade,0.5,41,55,1700,,DeWind D4 41/500,https://en.wind-turbine-models.com/turbines/413-dewind-d4-41-500,,DeWind,No,No
blade,0.6,46,55,3000,,DeWind D4 46/600,https://en.wind-turbine-models.com/turbines/731-dewind-d4-46-600,,DeWind,No,No
blade,0.6,48,60,2000,,DeWind D4 48/600,https://en.wind-turbine-models.com/turbines/388-dewind-d4-48-600,,DeWind,No,No
blade,1,62,68.5,6000,,DeWind D6 62/1000,https://en.wind-turbine-models.com/turbines/252-dewind-d6-62-1000,,DeWind,No,No
